system:index,LST_Day_1km_median,LST_Day_1km_stdDev,maxLST,minLST,modis_time,pixel_count,.geo
2009_01_01,,,{LST_Day_1km=null},{LST_Day_1km=null},1230768000000,0,
2009_01_02,-0.7500000000000001,0.795187243718172,{LST_Day_1km=0.6900000000000546},{LST_Day_1km=-2.1899999999999977},1230854400000,44,
2009_01_03,-0.3699999999999477,1.2007163427338425,{LST_Day_1km=0.7100000000000364},{LST_Day_1km=-2.589999999999975},1230940800000,32,
2009_01_04,,,{LST_Day_1km=null},{LST_Day_1km=null},1231027200000,0,
2009_01_05,,,{LST_Day_1km=null},{LST_Day_1km=null},1231113600000,0,
2009_01_06,,,{LST_Day_1km=null},{LST_Day_1km=null},1231200000000,0,
2009_01_07,,,{LST_Day_1km=null},{LST_Day_1km=null},1231286400000,0,
2009_01_08,0.07000000000005002,0.7937442484659597,{LST_Day_1km=1.6900000000000546},{LST_Day_1km=-0.6499999999999773},1231372800000,36,
2009_01_09,1.0900000000000318,0.6227261748865934,{LST_Day_1km=2.390000000000043},{LST_Day_1km=0.09000000000003183},1231459200000,31,
2009_01_10,,,{LST_Day_1km=null},{LST_Day_1km=null},1231545600000,0,
2009_01_11,0.2300000000000182,1.0667349867055689,{LST_Day_1km=2.250000000000057},{LST_Day_1km=-1.0699999999999932},1231632000000,23,
2009_01_12,2.1900000000000546,1.5374261640405826,{LST_Day_1km=6.970000000000027},{LST_Day_1km=1.410000000000025},1231718400000,50,
2009_01_13,-0.6299999999999955,1.2226835657850466,{LST_Day_1km=1.6900000000000546},{LST_Day_1km=-0.8699999999999477},1231804800000,12,
2009_01_14,-0.5299999999999727,2.720721734000818,{LST_Day_1km=6.170000000000016},{LST_Day_1km=-5.109999999999957},1231891200000,11,
2009_01_15,-3.609999999999957,0.0,{LST_Day_1km=-3.609999999999957},{LST_Day_1km=-3.609999999999957},1231977600000,5,
2009_01_16,3.7100000000000364,1.42414893310171,{LST_Day_1km=7.470000000000027},{LST_Day_1km=1.0300000000000296},1232064000000,28,
2009_01_17,3.7686285714286107,1.2261154105548118,{LST_Day_1km=5.4500000000000455},{LST_Day_1km=2.0500000000000114},1232150400000,41,
2009_01_18,3.2900000000000205,1.582934231805677,{LST_Day_1km=6.050000000000011},{LST_Day_1km=1.07000000000005},1232236800000,40,
2009_01_19,2.7700000000000387,2.0097497457501015,{LST_Day_1km=7.050000000000011},{LST_Day_1km=0.9900000000000091},1232323200000,41,
2009_01_20,3.230000000000018,1.3794165852111397,{LST_Day_1km=5.890000000000043},{LST_Day_1km=0.9300000000000068},1232409600000,38,
2009_01_21,,,{LST_Day_1km=null},{LST_Day_1km=null},1232496000000,0,
2009_01_22,,,{LST_Day_1km=null},{LST_Day_1km=null},1232582400000,0,
2009_01_23,,,{LST_Day_1km=null},{LST_Day_1km=null},1232668800000,0,
2009_01_24,,,{LST_Day_1km=null},{LST_Day_1km=null},1232755200000,0,
2009_01_25,-1.7299999999999613,0.38964371189873886,{LST_Day_1km=-1.4899999999999523},{LST_Day_1km=-2.409999999999968},1232841600000,3,
2009_01_26,-1.0299999999999727,2.1897632383433616,{LST_Day_1km=0.7300000000000182},{LST_Day_1km=-2.75},1232928000000,15,
2009_01_27,-5.7099999999999795,1.4315987566354023,{LST_Day_1km=-2.4899999999999523},{LST_Day_1km=-6.2099999999999795},1233014400000,2,
2009_01_28,1.1100000000000136,0.9952116453980039,{LST_Day_1km=3.410000000000025},{LST_Day_1km=-0.2699999999999818},1233100800000,46,
2009_01_29,1.1900000000000546,1.0510166831087013,{LST_Day_1km=3.650000000000034},{LST_Day_1km=-0.5099999999999909},1233187200000,49,
2009_01_30,3.230000000000018,1.6346281831206018,{LST_Day_1km=7.57000000000005},{LST_Day_1km=1.0300000000000296},1233273600000,45,
2009_01_31,3.890000000000043,1.4278878736881893,{LST_Day_1km=6.07000000000005},{LST_Day_1km=1.670000000000016},1233360000000,49,
2009_02_01,2.9700000000000273,1.4012186751218465,{LST_Day_1km=6.890000000000043},{LST_Day_1km=0.35000000000002274},1233446400000,46,
2009_02_02,3.830000000000041,1.3731230957241536,{LST_Day_1km=7.330000000000041},{LST_Day_1km=1.7100000000000364},1233532800000,22,
2009_02_03,4.090000000000032,2.6243998584979296,{LST_Day_1km=12.210000000000036},{LST_Day_1km=1.8700000000000045},1233619200000,50,
2009_02_04,2.6319909502262946,2.4414017521563527,{LST_Day_1km=6.510000000000048},{LST_Day_1km=-2.2899999999999636},1233705600000,38,
2009_02_05,,,{LST_Day_1km=null},{LST_Day_1km=null},1233792000000,0,
2009_02_06,0.11000000000001364,1.8607040146785994,{LST_Day_1km=4.07000000000005},{LST_Day_1km=-2.609999999999957},1233878400000,18,
2009_02_07,3.5100000000000477,1.6256524274648505,{LST_Day_1km=6.130000000000052},{LST_Day_1km=0.4300000000000068},1233964800000,49,
2009_02_08,,,{LST_Day_1km=null},{LST_Day_1km=null},1234051200000,0,
2009_02_09,-0.3499999999999659,1.174032433195528,{LST_Day_1km=0.6300000000000523},{LST_Day_1km=-1.6099999999999568},1234137600000,25,
2009_02_10,,,{LST_Day_1km=null},{LST_Day_1km=null},1234224000000,0,
2009_02_11,,,{LST_Day_1km=null},{LST_Day_1km=null},1234310400000,0,
2009_02_12,-0.6299999999999955,0.7380887480513456,{LST_Day_1km=-0.6299999999999955},{LST_Day_1km=-0.6299999999999955},1234396800000,2,
2009_02_13,,,{LST_Day_1km=null},{LST_Day_1km=null},1234483200000,0,
2009_02_14,-3.849999999999966,0.6514913638951104,{LST_Day_1km=-2.9699999999999704},{LST_Day_1km=-4.489999999999952},1234569600000,10,
2009_02_15,,,{LST_Day_1km=null},{LST_Day_1km=null},1234656000000,0,
2009_02_16,,,{LST_Day_1km=null},{LST_Day_1km=null},1234742400000,0,
2009_02_17,,,{LST_Day_1km=null},{LST_Day_1km=null},1234828800000,0,
2009_02_18,1.2900000000000202,0.6699039608428486,{LST_Day_1km=2.7700000000000387},{LST_Day_1km=0.4700000000000273},1234915200000,49,
2009_02_19,,,{LST_Day_1km=null},{LST_Day_1km=null},1235001600000,0,
2009_02_20,3.4500000000000455,1.8961861136971203,{LST_Day_1km=10.090000000000032},{LST_Day_1km=2.3100000000000023},1235088000000,50,
2009_02_21,,,{LST_Day_1km=null},{LST_Day_1km=null},1235174400000,0,
2009_02_22,,,{LST_Day_1km=null},{LST_Day_1km=null},1235260800000,0,
2009_02_23,-1.849999999999966,1.9036034572486409,{LST_Day_1km=-1.849999999999966},{LST_Day_1km=-1.849999999999966},1235347200000,3,
2009_02_24,5.550000000000011,2.6662953815600337,{LST_Day_1km=12.710000000000036},{LST_Day_1km=2.8500000000000227},1235433600000,50,
2009_02_25,0.5500000000000114,1.7974204872993107,{LST_Day_1km=2.7900000000000205},{LST_Day_1km=-0.5299999999999727},1235520000000,8,
2009_02_26,2.5238775510204436,2.106406108012286,{LST_Day_1km=9.850000000000023},{LST_Day_1km=0.29000000000002046},1235606400000,42,
2009_02_27,6.390000000000043,1.8818668036465005,{LST_Day_1km=11.250000000000057},{LST_Day_1km=4.57000000000005},1235692800000,50,
2009_02_28,,,{LST_Day_1km=null},{LST_Day_1km=null},1235779200000,0,
2009_03_01,,,{LST_Day_1km=null},{LST_Day_1km=null},1235865600000,0,
2009_03_02,0.4500000000000455,0.0,{LST_Day_1km=0.4500000000000455},{LST_Day_1km=0.4500000000000455},1235952000000,1,
2009_03_03,,,{LST_Day_1km=null},{LST_Day_1km=null},1236038400000,0,
2009_03_04,0.21000000000003638,0.7172237283743481,{LST_Day_1km=0.8700000000000045},{LST_Day_1km=-1.349999999999966},1236124800000,16,
2009_03_05,,,{LST_Day_1km=null},{LST_Day_1km=null},1236211200000,0,
2009_03_06,,,{LST_Day_1km=null},{LST_Day_1km=null},1236297600000,0,
2009_03_07,2.4500000000000455,1.691358320750673,{LST_Day_1km=6.550000000000011},{LST_Day_1km=0.19000000000005457},1236384000000,49,
2009_03_08,0.4900000000000091,1.4357914727953025,{LST_Day_1km=2.170000000000016},{LST_Day_1km=-3.849999999999966},1236470400000,21,
2009_03_09,0.5800000000000409,0.8204134075210626,{LST_Day_1km=2.730000000000018},{LST_Day_1km=-1.2099999999999795},1236556800000,46,
2009_03_10,2.890000000000043,2.1434888371675096,{LST_Day_1km=8.850000000000023},{LST_Day_1km=1.8500000000000227},1236643200000,50,
2009_03_11,5.53000000000003,2.025847007739098,{LST_Day_1km=9.870000000000005},{LST_Day_1km=3.990000000000009},1236729600000,50,
2009_03_12,6.690000000000055,3.6104173350643793,{LST_Day_1km=15.370000000000005},{LST_Day_1km=3.8100000000000023},1236816000000,50,
2009_03_13,11.450000000000045,2.72763479145495,{LST_Day_1km=17.390000000000043},{LST_Day_1km=6.610000000000014},1236902400000,50,
2009_03_14,2.2900000000000205,3.2625431268139575,{LST_Day_1km=2.2900000000000205},{LST_Day_1km=-5.409999999999968},1236988800000,3,
2009_03_15,-1.169999999999959,0.0,{LST_Day_1km=null},{LST_Day_1km=null},1237075200000,0,
2009_03_16,1.910000000000025,1.1575836902790402,{LST_Day_1km=1.910000000000025},{LST_Day_1km=-0.18999999999999773},1237161600000,2,
2009_03_17,6.330000000000041,3.8748296629526213,{LST_Day_1km=16.310000000000002},{LST_Day_1km=3.170000000000016},1237248000000,41,
2009_03_18,13.596718750000026,2.884133213820376,{LST_Day_1km=19.930000000000007},{LST_Day_1km=9.810000000000002},1237334400000,50,
2009_03_19,14.350000000000023,4.724372900772707,{LST_Day_1km=20.07000000000005},{LST_Day_1km=4.03000000000003},1237420800000,10,
2009_03_20,12.844881516587707,3.1541380752605805,{LST_Day_1km=18.99000000000001},{LST_Day_1km=4.110000000000014},1237507200000,43,
2009_03_21,,,{LST_Day_1km=null},{LST_Day_1km=null},1237593600000,0,
2009_03_22,,,{LST_Day_1km=null},{LST_Day_1km=null},1237680000000,0,
2009_03_23,6.410000000000025,0.6204022888416758,{LST_Day_1km=8.310000000000002},{LST_Day_1km=5.510000000000048},1237766400000,11,
2009_03_24,,,{LST_Day_1km=null},{LST_Day_1km=null},1237852800000,0,
2009_03_25,,,{LST_Day_1km=null},{LST_Day_1km=null},1237939200000,0,
2009_03_26,10.230000000000018,4.22155821350364,{LST_Day_1km=19.870000000000005},{LST_Day_1km=6.7900000000000205},1238025600000,43,
2009_03_27,15.190000000000055,2.9769318981512294,{LST_Day_1km=20.930000000000007},{LST_Day_1km=7.57000000000005},1238112000000,48,
2009_03_28,14.03000000000003,4.6736565059707464,{LST_Day_1km=25.07000000000005},{LST_Day_1km=11.150000000000034},1238198400000,50,
2009_03_29,,,{LST_Day_1km=null},{LST_Day_1km=null},1238284800000,0,
2009_03_30,12.390000000000043,3.153679490859184,{LST_Day_1km=19.410000000000025},{LST_Day_1km=8.050000000000011},1238371200000,10,
2009_03_31,,,{LST_Day_1km=null},{LST_Day_1km=null},1238457600000,0,
2009_04_01,,,{LST_Day_1km=null},{LST_Day_1km=null},1238544000000,0,
2009_04_02,7.2900000000000205,2.1927658840428608,{LST_Day_1km=11.830000000000041},{LST_Day_1km=6.110000000000014},1238630400000,2,
2009_04_03,,,{LST_Day_1km=null},{LST_Day_1km=null},1238716800000,0,
2009_04_04,10.29000000000002,5.209921983564651,{LST_Day_1km=22.150000000000034},{LST_Day_1km=5.810000000000002},1238803200000,38,
2009_04_05,15.596201117318463,4.160003021129026,{LST_Day_1km=24.79000000000002},{LST_Day_1km=9.750000000000057},1238889600000,50,
2009_04_06,11.67384615384621,7.205702223720243,{LST_Day_1km=27.810000000000002},{LST_Day_1km=8.330000000000041},1238976000000,49,
2009_04_07,,,{LST_Day_1km=null},{LST_Day_1km=null},1239062400000,0,
2009_04_08,,,{LST_Day_1km=null},{LST_Day_1km=null},1239148800000,0,
2009_04_09,,,{LST_Day_1km=null},{LST_Day_1km=null},1239235200000,0,
2009_04_10,5.270000000000039,1.918806213235362,{LST_Day_1km=9.550000000000011},{LST_Day_1km=5.090000000000032},1239321600000,5,
2009_04_11,9.590000000000032,4.248799703045982,{LST_Day_1km=21.190000000000055},{LST_Day_1km=8.110000000000014},1239408000000,34,
