system:index,LST_Day_1km_median,LST_Day_1km_stdDev,maxLST,minLST,modis_time,pixel_count,.geo
2009_01_01,,,{LST_Day_1km=null},{LST_Day_1km=null},1230768000000,0,
2009_01_02,-0.75,0.6405955480233033,{LST_Day_1km=0.6300000000000523},{LST_Day_1km=-2.1899999999999977},1230854400000,39,
2009_01_03,-0.22999999999998977,0.6211822171784857,{LST_Day_1km=0.7100000000000364},{LST_Day_1km=-2.589999999999975},1230940800000,28,
2009_01_04,,,{LST_Day_1km=null},{LST_Day_1km=null},1231027200000,0,
2009_01_05,,,{LST_Day_1km=null},{LST_Day_1km=null},1231113600000,0,
2009_01_06,,,{LST_Day_1km=null},{LST_Day_1km=null},1231200000000,0,
2009_01_07,,,{LST_Day_1km=null},{LST_Day_1km=null},1231286400000,0,
2009_01_08,0.010000000000047748,0.7871087145739865,{LST_Day_1km=1.650000000000034},{LST_Day_1km=-0.6499999999999773},1231372800000,33,
2009_01_09,1.150000000000034,0.5407811323038973,{LST_Day_1km=2.390000000000043},{LST_Day_1km=0.09000000000003183},1231459200000,29,
2009_01_10,,,{LST_Day_1km=null},{LST_Day_1km=null},1231545600000,0,
2009_01_11,0.2300000000000182,1.0459109324598108,{LST_Day_1km=2.250000000000057},{LST_Day_1km=-1.0699999999999932},1231632000000,23,
2009_01_12,2.07000000000005,1.4273867341715367,{LST_Day_1km=6.970000000000027},{LST_Day_1km=1.410000000000025},1231718400000,45,
2009_01_13,-0.7299999999999898,1.2396269600166114,{LST_Day_1km=1.6900000000000546},{LST_Day_1km=-0.8699999999999477},1231804800000,12,
2009_01_14,-0.5199999999999818,2.726374882513402,{LST_Day_1km=6.170000000000016},{LST_Day_1km=-5.109999999999957},1231891200000,10,
2009_01_15,-3.609999999999957,0.0,{LST_Day_1km=-3.609999999999957},{LST_Day_1km=-3.609999999999957},1231977600000,5,
2009_01_16,3.7400000000000375,1.2181543416168599,{LST_Day_1km=7.470000000000027},{LST_Day_1km=1.0300000000000296},1232064000000,24,
2009_01_17,3.7100000000000364,1.1234218011102817,{LST_Day_1km=5.4500000000000455},{LST_Day_1km=2.0500000000000114},1232150400000,36,
2009_01_18,3.2400000000000375,1.3726970613439182,{LST_Day_1km=6.050000000000011},{LST_Day_1km=1.07000000000005},1232236800000,36,
2009_01_19,2.7700000000000387,1.917228822552148,{LST_Day_1km=7.050000000000011},{LST_Day_1km=0.9900000000000091},1232323200000,36,
2009_01_20,3.230000000000018,1.1562805958445082,{LST_Day_1km=5.890000000000043},{LST_Day_1km=0.9300000000000068},1232409600000,35,
2009_01_21,,,{LST_Day_1km=null},{LST_Day_1km=null},1232496000000,0,
2009_01_22,,,{LST_Day_1km=null},{LST_Day_1km=null},1232582400000,0,
2009_01_23,,,{LST_Day_1km=null},{LST_Day_1km=null},1232668800000,0,
2009_01_24,,,{LST_Day_1km=null},{LST_Day_1km=null},1232755200000,0,
2009_01_25,-1.7299999999999613,0.38964371189873886,{LST_Day_1km=-1.4899999999999523},{LST_Day_1km=-2.409999999999968},1232841600000,3,
2009_01_26,-0.45999999999997954,1.2166976046760762,{LST_Day_1km=0.7300000000000182},{LST_Day_1km=-2.75},1232928000000,14,
