system:index,LST_Day_1km_median,LST_Day_1km_stdDev,maxLST,minLST,modis_time,pixel_count,.geo
2009_01_01,,,{LST_Day_1km=null},{LST_Day_1km=null},1230768000000,0,
2009_01_02,-0.7699999999999818,0.632074911602698,{LST_Day_1km=0.6300000000000523},{LST_Day_1km=-2.1899999999999977},1230854400000,35,
2009_01_03,-0.18999999999999773,0.4476169791238965,{LST_Day_1km=0.7100000000000364},{LST_Day_1km=-1.2099999999999795},1230940800000,25,
2009_01_04,,,{LST_Day_1km=null},{LST_Day_1km=null},1231027200000,0,
2009_01_05,,,{LST_Day_1km=null},{LST_Day_1km=null},1231113600000,0,
2009_01_06,,,{LST_Day_1km=null},{LST_Day_1km=null},1231200000000,0,
2009_01_07,,,{LST_Day_1km=null},{LST_Day_1km=null},1231286400000,0,
2009_01_08,0.010000000000047748,0.7714156111878361,{LST_Day_1km=1.650000000000034},{LST_Day_1km=-0.6499999999999773},1231372800000,29,
2009_01_09,1.150000000000034,0.5546452559970202,{LST_Day_1km=2.390000000000043},{LST_Day_1km=0.09000000000003183},1231459200000,25,
2009_01_10,,,{LST_Day_1km=null},{LST_Day_1km=null},1231545600000,0,
2009_01_11,0.2300000000000182,1.0034914106946176,{LST_Day_1km=2.250000000000057},{LST_Day_1km=-1.0699999999999932},1231632000000,21,
2009_01_12,2.05000000000004,1.2289832179488838,{LST_Day_1km=6.490000000000009},{LST_Day_1km=1.410000000000025},1231718400000,40,
2009_01_13,-0.8299999999999841,1.2097619463936584,{LST_Day_1km=1.6900000000000546},{LST_Day_1km=-0.8699999999999477},1231804800000,11,
2009_01_14,-0.5299999999999727,1.5541136174046122,{LST_Day_1km=0.2300000000000182},{LST_Day_1km=-5.109999999999957},1231891200000,9,
2009_01_15,-3.609999999999957,0.0,{LST_Day_1km=-3.609999999999957},{LST_Day_1km=-3.609999999999957},1231977600000,5,
2009_01_16,3.7700000000000387,0.9902279908803359,{LST_Day_1km=5.170000000000016},{LST_Day_1km=1.0300000000000296},1232064000000,21,
2009_01_17,3.7900000000000205,1.0815870714520148,{LST_Day_1km=5.350000000000023},{LST_Day_1km=2.07000000000005},1232150400000,31,
2009_01_18,3.230000000000018,1.2912651396092276,{LST_Day_1km=5.710000000000036},{LST_Day_1km=1.07000000000005},1232236800000,31,
2009_01_19,2.7700000000000387,1.812096939288219,{LST_Day_1km=7.050000000000011},{LST_Day_1km=0.9900000000000091},1232323200000,31,
2009_01_20,3.4300000000000352,1.0558754135260897,{LST_Day_1km=5.07000000000005},{LST_Day_1km=0.9300000000000068},1232409600000,30,
2009_01_21,,,{LST_Day_1km=null},{LST_Day_1km=null},1232496000000,0,
2009_01_22,,,{LST_Day_1km=null},{LST_Day_1km=null},1232582400000,0,
2009_01_23,,,{LST_Day_1km=null},{LST_Day_1km=null},1232668800000,0,
2009_01_24,,,{LST_Day_1km=null},{LST_Day_1km=null},1232755200000,0,
2009_01_25,-1.9499999999999602,0.46000000000000846,{LST_Day_1km=-1.4899999999999523},{LST_Day_1km=-2.409999999999968},1232841600000,2,
2009_01_26,-0.46999999999997044,1.22633045731261,{LST_Day_1km=0.7300000000000182},{LST_Day_1km=-2.75},1232928000000,13,
2009_01_27,-4.349999999999966,1.8600000000000139,{LST_Day_1km=-2.4899999999999523},{LST_Day_1km=-6.2099999999999795},1233014400000,2,
2009_01_28,1.120000000000033,0.8927488751136093,{LST_Day_1km=3.410000000000025},{LST_Day_1km=-0.2699999999999818},1233100800000,38,
2009_01_29,1.1600000000000534,0.9369183528995504,{LST_Day_1km=3.650000000000034},{LST_Day_1km=-0.5099999999999909},1233187200000,40,
2009_01_30,2.830000000000041,1.3978308560197141,{LST_Day_1km=6.230000000000018},{LST_Day_1km=1.150000000000034},1233273600000,35,
2009_01_31,3.7700000000000387,1.302965413648813,{LST_Day_1km=5.930000000000007},{LST_Day_1km=1.670000000000016},1233360000000,39,
2009_02_01,2.830000000000041,1.066550730246772,{LST_Day_1km=5.250000000000057},{LST_Day_1km=0.910000000000025},1233446400000,37,
2009_02_02,3.5100000000000477,1.0078226899581417,{LST_Day_1km=4.770000000000039},{LST_Day_1km=1.7100000000000364},1233532800000,17,
2009_02_03,3.8100000000000307,2.100476076988261,{LST_Day_1km=9.190000000000055},{LST_Day_1km=1.9700000000000273},1233619200000,40,
2009_02_04,1.9800000000000466,2.2191799286122724,{LST_Day_1km=5.57000000000005},{LST_Day_1km=-2.2899999999999636},1233705600000,30,
2009_02_05,,,{LST_Day_1km=null},{LST_Day_1km=null},1233792000000,0,
2009_02_06,-0.5099999999999909,1.493377887472856,{LST_Day_1km=3.3500000000000227},{LST_Day_1km=-2.609999999999957},1233878400000,13,
2009_02_07,3.5100000000000477,1.4537314057280362,{LST_Day_1km=6.130000000000052},{LST_Day_1km=0.4300000000000068},1233964800000,40,
2009_02_08,,,{LST_Day_1km=null},{LST_Day_1km=null},1234051200000,0,
2009_02_09,-0.3499999999999659,0.6202371642255751,{LST_Day_1km=0.6300000000000523},{LST_Day_1km=-1.6099999999999568},1234137600000,23,
2009_02_10,,,{LST_Day_1km=null},{LST_Day_1km=null},1234224000000,0,
2009_02_11,,,{LST_Day_1km=null},{LST_Day_1km=null},1234310400000,0,
2009_02_12,-0.6299999999999955,0.0,{LST_Day_1km=-0.6299999999999955},{LST_Day_1km=-0.6299999999999955},1234396800000,1,
2009_02_13,,,{LST_Day_1km=null},{LST_Day_1km=null},1234483200000,0,
2009_02_14,-3.8199999999999648,0.5394107896584804,{LST_Day_1km=-2.9699999999999704},{LST_Day_1km=-4.489999999999952},1234569600000,10,
2009_02_15,,,{LST_Day_1km=null},{LST_Day_1km=null},1234656000000,0,
2009_02_16,,,{LST_Day_1km=null},{LST_Day_1km=null},1234742400000,0,
2009_02_17,,,{LST_Day_1km=null},{LST_Day_1km=null},1234828800000,0,
2009_02_18,1.3100000000000307,0.48276055141239355,{LST_Day_1km=2.5500000000000114},{LST_Day_1km=0.4700000000000273},1234915200000,40,
2009_02_19,,,{LST_Day_1km=null},{LST_Day_1km=null},1235001600000,0,
2009_02_20,3.4900000000000375,1.3531111373423874,{LST_Day_1km=9.210000000000036},{LST_Day_1km=2.3100000000000023},1235088000000,40,
2009_02_21,,,{LST_Day_1km=null},{LST_Day_1km=null},1235174400000,0,
2009_02_22,,,{LST_Day_1km=null},{LST_Day_1km=null},1235260800000,0,
2009_02_23,-1.849999999999966,0.0,{LST_Day_1km=-1.849999999999966},{LST_Day_1km=-1.849999999999966},1235347200000,3,
2009_02_24,5.240000000000009,2.1178828461461254,{LST_Day_1km=12.270000000000039},{LST_Day_1km=2.8500000000000227},1235433600000,40,
2009_02_25,0.14000000000001478,0.75298664589015,{LST_Day_1km=1.6300000000000523},{LST_Day_1km=-0.5299999999999727},1235520000000,6,
2009_02_26,2.4500000000000455,1.2481261056120132,{LST_Day_1km=5.750000000000057},{LST_Day_1km=0.29000000000002046},1235606400000,35,
2009_02_27,5.770000000000039,1.5915577275110064,{LST_Day_1km=10.29000000000002},{LST_Day_1km=4.57000000000005},1235692800000,40,
2009_02_28,,,{LST_Day_1km=null},{LST_Day_1km=null},1235779200000,0,
2009_03_01,,,{LST_Day_1km=null},{LST_Day_1km=null},1235865600000,0,
2009_03_02,0.4500000000000455,0.0,{LST_Day_1km=0.4500000000000455},{LST_Day_1km=0.4500000000000455},1235952000000,1,
2009_03_03,,,{LST_Day_1km=null},{LST_Day_1km=null},1236038400000,0,
2009_03_04,0.30000000000001137,0.45208135442683645,{LST_Day_1km=0.8700000000000045},{LST_Day_1km=-0.6099999999999568},1236124800000,14,
2009_03_05,,,{LST_Day_1km=null},{LST_Day_1km=null},1236211200000,0,
2009_03_06,,,{LST_Day_1km=null},{LST_Day_1km=null},1236297600000,0,
2009_03_07,2.4600000000000364,1.1249906666279497,{LST_Day_1km=5.990000000000009},{LST_Day_1km=0.19000000000005457},1236384000000,40,
2009_03_08,0.4900000000000091,1.6650948081780805,{LST_Day_1km=2.170000000000016},{LST_Day_1km=-3.849999999999966},1236470400000,19,
2009_03_09,0.5500000000000114,0.7022073097858802,{LST_Day_1km=2.650000000000034},{LST_Day_1km=-0.7899999999999636},1236556800000,37,
2009_03_10,2.6300000000000523,1.6942106569137145,{LST_Day_1km=8.850000000000023},{LST_Day_1km=1.8500000000000227},1236643200000,40,
2009_03_11,5.360000000000014,1.6791423406012955,{LST_Day_1km=9.190000000000055},{LST_Day_1km=3.990000000000009},1236729600000,40,
2009_03_12,5.900000000000034,3.1610086997665774,{LST_Day_1km=15.310000000000002},{LST_Day_1km=3.8100000000000023},1236816000000,40,
2009_03_13,10.500000000000028,2.502022381994217,{LST_Day_1km=16.090000000000032},{LST_Day_1km=6.610000000000014},1236902400000,40,
2009_03_14,0.9900000000000091,3.365511352924934,{LST_Day_1km=2.2900000000000205},{LST_Day_1km=-5.409999999999968},1236988800000,3,
2009_03_15,,,{LST_Day_1km=null},{LST_Day_1km=null},1237075200000,0,
2009_03_16,0.8600000000000136,1.0500000000000114,{LST_Day_1km=1.910000000000025},{LST_Day_1km=-0.18999999999999773},1237161600000,2,
2009_03_17,5.9500000000000455,3.0336075883343914,{LST_Day_1km=15.190000000000055},{LST_Day_1km=4.110000000000014},1237248000000,32,
2009_03_18,12.590000000000032,2.3251182765614278,{LST_Day_1km=19.090000000000032},{LST_Day_1km=9.910000000000025},1237334400000,40,
2009_03_19,13.980000000000018,4.508066843633375,{LST_Day_1km=18.99000000000001},{LST_Day_1km=4.03000000000003},1237420800000,6,
2009_03_20,12.870000000000033,3.374836575833004,{LST_Day_1km=18.99000000000001},{LST_Day_1km=4.110000000000014},1237507200000,36,
2009_03_21,,,{LST_Day_1km=null},{LST_Day_1km=null},1237593600000,0,
2009_03_22,,,{LST_Day_1km=null},{LST_Day_1km=null},1237680000000,0,
2009_03_23,6.410000000000025,0.45303912021417825,{LST_Day_1km=7.090000000000032},{LST_Day_1km=5.510000000000048},1237766400000,9,
2009_03_24,,,{LST_Day_1km=null},{LST_Day_1km=null},1237852800000,0,
2009_03_25,,,{LST_Day_1km=null},{LST_Day_1km=null},1237939200000,0,
2009_03_26,8.810000000000002,3.577105036306788,{LST_Day_1km=19.750000000000057},{LST_Day_1km=6.7900000000000205},1238025600000,33,
2009_03_27,14.970000000000027,2.363574358889563,{LST_Day_1km=20.930000000000007},{LST_Day_1km=11.650000000000034},1238112000000,40,
2009_03_28,13.240000000000009,3.5371174351440358,{LST_Day_1km=24.79000000000002},{LST_Day_1km=11.150000000000034},1238198400000,40,
2009_03_29,,,{LST_Day_1km=null},{LST_Day_1km=null},1238284800000,0,
2009_03_30,10.830000000000041,1.7390296144689439,{LST_Day_1km=12.590000000000032},{LST_Day_1km=8.050000000000011},1238371200000,5,
2009_03_31,,,{LST_Day_1km=null},{LST_Day_1km=null},1238457600000,0,
2009_04_01,,,{LST_Day_1km=null},{LST_Day_1km=null},1238544000000,0,
2009_04_02,6.110000000000014,0.0,{LST_Day_1km=6.110000000000014},{LST_Day_1km=6.110000000000014},1238630400000,1,
2009_04_03,,,{LST_Day_1km=null},{LST_Day_1km=null},1238716800000,0,
2009_04_04,8.240000000000038,4.393475415001458,{LST_Day_1km=21.99000000000001},{LST_Day_1km=5.810000000000002},1238803200000,30,
2009_04_05,15.220000000000027,3.684485174349313,{LST_Day_1km=23.670000000000016},{LST_Day_1km=9.970000000000027},1238889600000,40,
2009_04_06,11.250000000000057,5.4474134909110665,{LST_Day_1km=26.590000000000032},{LST_Day_1km=8.390000000000043},1238976000000,39,
2009_04_07,,,{LST_Day_1km=null},{LST_Day_1km=null},1239062400000,0,
2009_04_08,,,{LST_Day_1km=null},{LST_Day_1km=null},1239148800000,0,
2009_04_09,,,{LST_Day_1km=null},{LST_Day_1km=null},1239235200000,0,
2009_04_10,5.270000000000039,1.4433294842134974,{LST_Day_1km=8.270000000000039},{LST_Day_1km=5.150000000000034},1239321600000,3,
2009_04_11,9.190000000000026,3.1865005435878633,{LST_Day_1km=21.090000000000032},{LST_Day_1km=8.110000000000014},1239408000000,28,
2009_04_12,,,{LST_Day_1km=null},{LST_Day_1km=null},1239494400000,0,
2009_04_13,11.410000000000025,3.2708681829691804,{LST_Day_1km=21.890000000000043},{LST_Day_1km=9.130000000000052},1239580800000,38,
2009_04_14,5.250000000000057,2.239186360166468,{LST_Day_1km=5.270000000000039},{LST_Day_1km=0.5100000000000477},1239667200000,3,
2009_04_15,5.4500000000000455,0.6454627969311976,{LST_Day_1km=6.190000000000055},{LST_Day_1km=4.610000000000014},1239753600000,3,
2009_04_16,12.330000000000041,3.62939420580319,{LST_Day_1km=21.210000000000036},{LST_Day_1km=7.590000000000032},1239840000000,39,
2009_04_17,,,{LST_Day_1km=null},{LST_Day_1km=null},1239926400000,0,
2009_04_18,14.470000000000027,4.342873794414746,{LST_Day_1km=26.230000000000018},{LST_Day_1km=8.870000000000005},1240012800000,39,
2009_04_19,19.01000000000002,3.8156544654881626,{LST_Day_1km=29.07000000000005},{LST_Day_1km=12.930000000000007},1240099200000,40,
2009_04_20,21.890000000000015,5.143115398277598,{LST_Day_1km=37.690000000000055},{LST_Day_1km=18.57000000000005},1240185600000,40,
2009_04_21,25.650000000000034,2.897558245658302,{LST_Day_1km=32.690000000000055},{LST_Day_1km=21.53000000000003},1240272000000,39,
2009_04_22,22.870000000000005,5.238219888421187,{LST_Day_1km=36.110000000000014},{LST_Day_1km=18.090000000000032},1240358400000,27,
2009_04_23,15.890000000000015,0.0800000000000844,{LST_Day_1km=15.970000000000027},{LST_Day_1km=15.810000000000002},1240444800000,2,
2009_04_24,,,{LST_Day_1km=null},{LST_Day_1km=null},1240531200000,0,
2009_04_25,18.140000000000015,3.1699999999999826,{LST_Day_1km=21.310000000000002},{LST_Day_1km=14.970000000000027},1240617600000,2,
2009_04_26,17.00000000000003,1.830000000000004,{LST_Day_1km=18.83000000000004},{LST_Day_1km=15.170000000000016},1240704000000,2,
2009_04_27,,,{LST_Day_1km=null},{LST_Day_1km=null},1240790400000,0,
2009_04_28,,,{LST_Day_1km=null},{LST_Day_1km=null},1240876800000,0,
2009_04_29,,,{LST_Day_1km=null},{LST_Day_1km=null},1240963200000,0,
2009_04_30,16.720000000000027,3.273164294420573,{LST_Day_1km=23.49000000000001},{LST_Day_1km=10.670000000000016},1241049600000,34,
2009_05_01,,,{LST_Day_1km=null},{LST_Day_1km=null},1241136000000,0,
2009_05_02,,,{LST_Day_1km=null},{LST_Day_1km=null},1241222400000,0,
2009_05_03,9.06000000000003,1.3101999847351598,{LST_Day_1km=11.170000000000016},{LST_Day_1km=7.230000000000018},1241308800000,10,
2009_05_04,,,{LST_Day_1km=null},{LST_Day_1km=null},1241395200000,0,
2009_05_05,13.750000000000057,2.655811033356462,{LST_Day_1km=19.77000000000004},{LST_Day_1km=10.010000000000048},1241481600000,35,
2009_05_06,7.770000000000039,1.2435819233166665,{LST_Day_1km=9.810000000000002},{LST_Day_1km=6.970000000000027},1241568000000,5,
