system:index,LST_Night_1km_median,LST_Night_1km_stdDev,maxLST,minLST,modis_time,pixel_count,.geo
2009_01_01,,,{LST_Night_1km=null},{LST_Night_1km=null},1230768000000,0,
2009_01_02,-3.9799999999999898,1.6152211941937902,{LST_Night_1km=-1.6499999999999773},{LST_Night_1km=-6.169999999999959},1230854400000,18,
2009_01_03,-3.1399999999999864,1.321912545434748,{LST_Night_1km=-1.0299999999999727},{LST_Night_1km=-6.109999999999957},1230940800000,36,
2009_01_04,-7.099999999999966,1.0203560803034584,{LST_Night_1km=-5.769999999999982},{LST_Night_1km=-10.369999999999948},1231027200000,14,
2009_01_05,,,{LST_Night_1km=null},{LST_Night_1km=null},1231113600000,0,
2009_01_06,,,{LST_Night_1km=null},{LST_Night_1km=null},1231200000000,0,
2009_01_07,-1.5499999999999545,0.2988511335096445,{LST_Night_1km=-1.3099999999999454},{LST_Night_1km=-2.2899999999999636},1231286400000,25,
2009_01_08,0.910000000000025,0.4820638296239323,{LST_Night_1km=1.5100000000000477},{LST_Night_1km=-1.169999999999959},1231372800000,39,
2009_01_09,-3.569999999999993,0.6692561280421419,{LST_Night_1km=-2.3099999999999454},{LST_Night_1km=-5.189999999999998},1231459200000,33,
2009_01_10,-2.609999999999957,1.582097909427174,{LST_Night_1km=-0.75},{LST_Night_1km=-6.489999999999952},1231545600000,19,
2009_01_11,,,{LST_Night_1km=null},{LST_Night_1km=null},1231632000000,0,
2009_01_12,-0.8199999999999648,0.7350263600715287,{LST_Night_1km=-0.16999999999995907},{LST_Night_1km=-3.5299999999999727},1231718400000,40,
2009_01_13,-0.839999999999975,0.7354529216748017,{LST_Night_1km=-0.20999999999997954},{LST_Night_1km=-3.8099999999999454},1231804800000,40,
2009_01_14,-2.569999999999993,0.7112883395928896,{LST_Night_1km=-1.9699999999999704},{LST_Night_1km=-4.869999999999948},1231891200000,35,
2009_01_15,-2.75,1.0885196369381704,{LST_Night_1km=-0.92999999999995},{LST_Night_1km=-5.169999999999959},1231977600000,28,
2009_01_16,-4.7599999999999625,0.6108241750614537,{LST_Night_1km=-3.7299999999999613},{LST_Night_1km=-6.529999999999973},1232064000000,36,
2009_01_17,-3.1299999999999955,1.20272029410836,{LST_Night_1km=-1.4699999999999704},{LST_Night_1km=-5.92999999999995},1232150400000,23,
2009_01_18,-3.769999999999982,0.9301525342782283,{LST_Night_1km=-2.75},{LST_Night_1km=-5.989999999999952},1232236800000,34,
2009_01_19,-1.759999999999991,1.1069830872942759,{LST_Night_1km=-0.6699999999999591},{LST_Night_1km=-4.6299999999999955},1232323200000,30,
2009_01_20,-5.119999999999948,1.25,{LST_Night_1km=-3.8699999999999477},{LST_Night_1km=-6.369999999999948},1232409600000,2,
2009_01_21,-4.72999999999999,0.9504656168893648,{LST_Night_1km=-3.6299999999999955},{LST_Night_1km=-6.829999999999984},1232496000000,30,
2009_01_22,,,{LST_Night_1km=null},{LST_Night_1km=null},1232582400000,0,
2009_01_23,,,{LST_Night_1km=null},{LST_Night_1km=null},1232668800000,0,
2009_01_24,0.4300000000000068,0.39170306676997996,{LST_Night_1km=0.9700000000000273},{LST_Night_1km=-0.38999999999998636},1232755200000,21,
2009_01_25,,,{LST_Night_1km=null},{LST_Night_1km=null},1232841600000,0,
2009_01_26,-6.359999999999985,1.2562775701784021,{LST_Night_1km=-3.7099999999999795},{LST_Night_1km=-9.75},1232928000000,18,
2009_01_27,-7.109999999999957,3.4054973904512824,{LST_Night_1km=-1.6299999999999955},{LST_Night_1km=-11.909999999999968},1233014400000,23,
2009_01_28,,,{LST_Night_1km=null},{LST_Night_1km=null},1233100800000,0,
2009_01_29,-1.4599999999999795,1.1139349173089066,{LST_Night_1km=0.9500000000000455},{LST_Night_1km=-3.669999999999959},1233187200000,40,
2009_01_30,-2.3099999999999454,0.8324389677979311,{LST_Night_1km=-0.2899999999999636},{LST_Night_1km=-3.92999999999995},1233273600000,39,
2009_01_31,-0.8399999999999466,1.1198620450751964,{LST_Night_1km=1.670000000000016},{LST_Night_1km=-2.8899999999999864},1233360000000,40,
2009_02_01,-1.8599999999999852,0.8031175194204161,{LST_Night_1km=0.11000000000001364},{LST_Night_1km=-3.1299999999999955},1233446400000,40,
2009_02_02,-0.9499999999999886,1.0406789873763127,{LST_Night_1km=0.8700000000000045},{LST_Night_1km=-3.5299999999999727},1233532800000,39,
2009_02_03,-1.2999999999999545,0.5611503809140648,{LST_Night_1km=-0.5699999999999932},{LST_Night_1km=-3.069999999999993},1233619200000,40,
2009_02_04,-3.379999999999967,0.8293146627893198,{LST_Night_1km=-1.669999999999959},{LST_Night_1km=-4.829999999999984},1233705600000,22,
2009_02_05,,,{LST_Night_1km=null},{LST_Night_1km=null},1233792000000,0,
2009_02_06,,,{LST_Night_1km=null},{LST_Night_1km=null},1233878400000,0,
2009_02_07,0.6500000000000341,1.358279103295413,{LST_Night_1km=2.390000000000043},{LST_Night_1km=-2.6499999999999773},1233964800000,35,
2009_02_08,0.37000000000003297,1.2567528595551345,{LST_Night_1km=1.910000000000025},{LST_Night_1km=-3.069999999999993},1234051200000,40,
2009_02_09,,,{LST_Night_1km=null},{LST_Night_1km=null},1234137600000,0,
2009_02_10,-3.669999999999959,0.340018318252726,{LST_Night_1km=-3.089999999999975},{LST_Night_1km=-4.2099999999999795},1234224000000,17,
2009_02_11,,,{LST_Night_1km=null},{LST_Night_1km=null},1234310400000,0,
2009_02_12,-2.7099999999999795,0.8530314091720284,{LST_Night_1km=-1.7699999999999818},{LST_Night_1km=-4.349999999999966},1234396800000,21,
2009_02_13,,,{LST_Night_1km=null},{LST_Night_1km=null},1234483200000,0,
2009_02_14,,,{LST_Night_1km=null},{LST_Night_1km=null},1234569600000,0,
2009_02_15,,,{LST_Night_1km=null},{LST_Night_1km=null},1234656000000,0,
2009_02_16,,,{LST_Night_1km=null},{LST_Night_1km=null},1234742400000,0,
2009_02_17,-5.699999999999989,0.30782462539568745,{LST_Night_1km=-5.149999999999977},{LST_Night_1km=-5.909999999999968},1234828800000,10,
2009_02_18,-10.96999999999997,1.2880874922749213,{LST_Night_1km=-7.769999999999982},{LST_Night_1km=-12.309999999999945},1234915200000,14,
2009_02_19,,,{LST_Night_1km=null},{LST_Night_1km=null},1235001600000,0,
2009_02_20,,,{LST_Night_1km=null},{LST_Night_1km=null},1235088000000,0,
2009_02_21,-0.3599999999999568,1.4888417478026357,{LST_Night_1km=2.5500000000000114},{LST_Night_1km=-2.9699999999999704},1235174400000,40,
2009_02_22,,,{LST_Night_1km=null},{LST_Night_1km=null},1235260800000,0,
2009_02_23,-1.849999999999966,0.9568060293381212,{LST_Night_1km=-0.6899999999999977},{LST_Night_1km=-4.7099999999999795},1235347200000,36,
2009_02_24,-15.229999999999961,0.0,{LST_Night_1km=-15.229999999999961},{LST_Night_1km=-15.229999999999961},1235433600000,1,
2009_02_25,,,{LST_Night_1km=null},{LST_Night_1km=null},1235520000000,0,
2009_02_26,1.2800000000000296,0.555364519932629,{LST_Night_1km=1.8500000000000227},{LST_Night_1km=-0.8299999999999841},1235606400000,40,
2009_02_27,-3.25,2.213115290702414,{LST_Night_1km=0.7100000000000364},{LST_Night_1km=-8.409999999999968},1235692800000,13,
2009_02_28,,,{LST_Night_1km=null},{LST_Night_1km=null},1235779200000,0,
2009_03_01,,,{LST_Night_1km=null},{LST_Night_1km=null},1235865600000,0,
2009_03_02,3.0000000000000284,1.1413868756911507,{LST_Night_1km=4.4500000000000455},{LST_Night_1km=0.2300000000000182},1235952000000,40,
2009_03_03,-0.7599999999999909,0.5311722884337922,{LST_Night_1km=-0.2899999999999636},{LST_Night_1km=-2.2299999999999613},1236038400000,10,
2009_03_04,,,{LST_Night_1km=null},{LST_Night_1km=null},1236124800000,0,
2009_03_05,-3.669999999999959,1.9411594473406912,{LST_Night_1km=-2.009999999999991},{LST_Night_1km=-7.1299999999999955},1236211200000,4,
2009_03_06,,,{LST_Night_1km=null},{LST_Night_1km=null},1236297600000,0,
2009_03_07,0.05000000000001137,1.121708568108751,{LST_Night_1km=1.7500000000000568},{LST_Night_1km=-3.0299999999999727},1236384000000,39,
2009_03_08,2.3300000000000125,1.1146945770030443,{LST_Night_1km=2.930000000000007},{LST_Night_1km=-1.849999999999966},1236470400000,40,
2009_03_09,,,{LST_Night_1km=null},{LST_Night_1km=null},1236556800000,0,
