system:index,LST_Night_1km_max,LST_Night_1km_median,LST_Night_1km_min,LST_Night_1km_stdDev,modis_time,pixel_count,.geo
2008_01_01,-5.669999999999959,-7.169999999999959,-9.949999999999989,0.9869465763334284,1199145600000,33,
2008_01_02,,,,,1199232000000,0,
2008_01_03,,,,,1199318400000,0,
2008_01_04,,,,,1199404800000,0,
2008_01_05,-7.1299999999999955,-8.529999999999973,-8.96999999999997,0.6961082291329754,1199491200000,12,
2008_01_06,,,,,1199577600000,0,
2008_01_07,,,,,1199664000000,0,
2008_01_08,,,,,1199750400000,0,
2008_01_09,-4.069999999999993,-4.639999999999986,-7.1299999999999955,0.6546021692600723,1199836800000,40,
2008_01_10,,,,,1199923200000,0,
2008_01_11,-2.7899999999999636,-3.7199999999999704,-5.489999999999952,0.6944233742571513,1200009600000,38,
2008_01_12,,,,,1200096000000,0,
2008_01_13,,,,,1200182400000,0,
2008_01_14,-11.229999999999961,-11.529999999999973,-12.109999999999957,0.3652700675147071,1200268800000,3,
2008_01_15,-3.25,-3.9499999999999886,-4.309999999999945,0.32095641098360367,1200355200000,26,
2008_01_16,-12.349999999999966,-12.679999999999978,-13.009999999999991,0.3300000000000084,1200441600000,2,
2008_01_17,-10.069999999999993,-11.319999999999965,-12.269999999999982,0.7852865718958912,1200528000000,4,
2008_01_18,-8.309999999999945,-10.149999999999977,-11.449999999999989,0.9088542237344988,1200614400000,10,
2008_01_19,-8.169999999999959,-9.309999999999945,-13.42999999999995,0.924437919564105,1200700800000,34,
2008_01_20,-4.189999999999998,-6.269999999999982,-10.369999999999948,1.3318294748202508,1200787200000,40,
2008_01_21,,,,,1200873600000,0,
2008_01_22,-21.74999999999997,-21.74999999999997,-21.74999999999997,0.0,1200960000000,1,
2008_01_23,-20.809999999999974,-20.809999999999974,-20.809999999999974,0.0,1201046400000,1,
2008_01_24,-19.029999999999973,-19.029999999999973,-19.029999999999973,0.0,1201132800000,1,
2008_01_25,-15.369999999999948,-15.369999999999948,-15.369999999999948,0.0,1201219200000,1,
2008_01_26,-9.42999999999995,-10.049999999999983,-12.92999999999995,0.9190201081498072,1201305600000,14,
2008_01_27,-1.6899999999999977,-3.169999999999959,-5.589999999999975,1.2090361282339783,1201392000000,32,
2008_01_28,,,,,1201478400000,0,
2008_01_29,,,,,1201564800000,0,
2008_01_30,,,,,1201651200000,0,
2008_01_31,,,,,1201737600000,0,
2008_02_01,-8.829999999999984,-11.629999999999995,-17.00999999999999,2.2871787811317974,1201824000000,11,
2008_02_02,-9.729999999999961,-11.009999999999991,-17.029999999999973,2.651382762928721,1201910400000,12,
2008_02_03,,,,,1201996800000,0,
2008_02_04,-12.75,-13.869999999999948,-17.44999999999996,1.3388367901343503,1202083200000,9,
2008_02_05,-10.489999999999952,-11.499999999999972,-16.549999999999955,1.1587627021957432,1202169600000,40,
2008_02_06,,,,,1202256000000,0,
2008_02_07,-5.669999999999959,-8.399999999999949,-10.129999999999995,1.2987990606710489,1202342400000,40,
2008_02_08,,,,,1202428800000,0,
2008_02_09,-5.1299999999999955,-5.909999999999968,-8.389999999999986,0.6228962594204502,1202515200000,40,
2008_02_10,,,,,1202601600000,0,
2008_02_11,,,,,1202688000000,0,
2008_02_12,-5.989999999999952,-6.729999999999961,-7.92999999999995,0.5251390292103528,1202774400000,40,
2008_02_13,,,,,1202860800000,0,
2008_02_14,-7.449999999999989,-8.259999999999962,-11.029999999999973,0.9537073712622691,1202947200000,40,
2008_02_15,-9.109999999999957,-9.839999999999947,-11.289999999999964,0.5717112470469569,1203033600000,40,
2008_02_16,-6.309999999999945,-7.279999999999973,-8.589999999999975,0.4898262447031705,1203120000000,40,
2008_02_17,,,,,1203206400000,0,
2008_02_18,-6.6299999999999955,-7.679999999999978,-8.789999999999964,0.5643383293734451,1203292800000,40,
2008_02_19,-7.449999999999989,-8.859999999999957,-10.889999999999986,0.7635245575618123,1203379200000,40,
2008_02_20,-1.2299999999999613,-3.0499999999999545,-4.46999999999997,0.868615818414563,1203465600000,25,
2008_02_21,-2.4499999999999886,-3.0399999999999636,-5.609999999999957,0.640971138195784,1203552000000,40,
2008_02_22,-4.809999999999945,-6.799999999999983,-7.769999999999982,0.71925238963802,1203638400000,40,
2008_02_23,-8.529999999999973,-8.669999999999959,-9.389999999999986,0.37676989735853295,1203724800000,3,
2008_02_24,-6.189999999999998,-6.739999999999981,-9.229999999999961,1.027037571289148,1203811200000,18,
2008_02_25,-9.229999999999961,-9.949999999999989,-10.009999999999991,0.2628881969234011,1203897600000,7,
2008_02_26,-8.20999999999998,-8.20999999999998,-8.20999999999998,0.0,1203984000000,2,
2008_02_27,,,,,1204070400000,0,
2008_02_28,-3.4499999999999886,-4.21999999999997,-5.189999999999998,0.5550529254044109,1204156800000,40,
2008_02_29,,,,,1204243200000,0,
2008_03_01,-6.149999999999977,-6.789999999999964,-12.009999999999991,1.5573697550731647,1204329600000,19,
2008_03_02,-3.2299999999999613,-3.599999999999966,-6.329999999999984,0.6655073252789958,1204416000000,40,
2008_03_03,-1.0499999999999545,-1.6099999999999568,-6.449999999999989,1.5326694184676404,1204502400000,31,
2008_03_04,-1.1099999999999568,-1.4299999999999784,-2.269999999999982,0.3501910193023286,1204588800000,40,
2008_03_05,-1.829999999999984,-2.3699999999999477,-6.389999999999986,0.8926386064854591,1204675200000,39,
2008_03_06,-2.7099999999999795,-3.4399999999999693,-6.509999999999991,0.7913557986140077,1204761600000,40,
2008_03_07,-1.589999999999975,-3.2099999999999795,-6.6299999999999955,1.4190798618544946,1204848000000,27,
2008_03_08,0.3300000000000409,-0.30999999999997385,-2.4699999999999704,0.5889174390353898,1204934400000,40,
2008_03_09,-2.269999999999982,-2.569999999999993,-3.6899999999999977,0.5256196343364712,1205020800000,10,
2008_03_10,-2.109999999999957,-2.849999999999966,-3.4699999999999704,0.31967327069994755,1205107200000,40,
2008_03_11,1.170000000000016,0.4600000000000364,0.2300000000000182,0.18841377338188323,1205193600000,40,
2008_03_12,,,,,1205280000000,0,
2008_03_13,,,,,1205366400000,0,
2008_03_14,-0.08999999999997499,-0.7299999999999613,-2.25,0.5041756388325854,1205452800000,38,
2008_03_15,-11.409999999999968,-11.409999999999968,-11.409999999999968,0.0,1205539200000,1,
2008_03_16,-4.009999999999991,-4.529999999999973,-10.029999999999973,1.6300889799776634,1205625600000,11,
